,Title,Word_Count,Links,Hashtags,User_Mentions,Favorite,Retweet
57,"PRENSA CORRUPTA PAUTADA POR ESTE GOBIERNO. DICE: ""CAMBIO DEL PRECIO DE LOS COMBUSTIBLES""
COMO MANIPULAN AL PUBLICO, HOY OTRA OFERTA FALLIDA DE GUILLERMO LASSO ... PAQUETAZO!!
 SUBIÓ LOS COMBUSTIBLES. https://t.co/w1Au59WCLi",30,0,0,0,0,0
58,Por culpa de la #Crueldad del #Capitalismo 😠 nosotros no creemos en el capitalismo ni el #Socialismo ✌️ nosotros somos #Humanismo por una sociedad mejor 😃 por favor @AIPuertoRico @discapacidadcom exijir que el presidente #Guillermo Lasso respete los #HumanRights de Mario,41,0,6,2,0,0
59,Guillermo Lasso AMENAZA al pueblo ecuatoriano si salen a Protestar  La d... https://t.co/dITWtXD0Dk a través de @YouTube,17,1,0,1,0,0
60,El presidente de Ecuador Guillermo Lasso recibe su primera vacuna contra el covid-19 https://t.co/3YCWN3mzSy https://t.co/hUCz9DoM1S,15,1,0,0,0,0
61,El presidente de Ecuador Guillermo Lasso recibe su primera vacuna contra el covid-19 https://t.co/h7SvmMR1mS https://t.co/h7NXhh1INr,15,1,0,0,0,0
62,"🇪🇨 El Universo: La aprobación de Guillermo Lasso arranca como la más alta desde el retorno a la democracia.
Según encuesta de Cedatos, aprobación se sitúa en 71,4 %
#SeTeNotaDemasiado",30,0,1,0,18,6
63,"Ecuador respira libertad, pues CEDATO ha sentenciado que:

1. Guillermo Lasso 
2. Jaime Roldós 
3. Rafael Correa 

¡La caretucada de la semana! 😂

#efectoLasso #40AñosDeDemocracia",25,0,2,0,0,0
64,"#Mundo | El presidente de Ecuador, Guillermo Lasso, participará en la Conferencia Internacional de donantes en solidaridad con migrantes y refugiados de Venezuela #12Jun.

https://t.co/kJls8ZPUvH",25,1,2,0,1,1
65,Guillermo Lasso AMENAZA al pueblo ecuatoriano si salen a Protestar  La d... https://t.co/rYlc7vLfkM a través de @YouTube,17,1,0,1,0,0
66,El presidente de Ecuador Guillermo Lasso recibe su primera vacuna contra el covid-19,13,0,0,0,0,0
67,El presidente de Ecuador Guillermo Lasso recibe su primera vacuna contra el covid-19 https://t.co/7n2JNLMzL2,14,1,0,0,0,0
68,#12Jun Presidente Guillermo Lasso será operado en Estados Unidos https://t.co/BMhUr7RaZv,10,1,1,0,0,0
69,"A través del Decreto Ejecutivo 74, firmado este viernes 11 de junio, el presidente Guillermo Lasso emitió varias disposiciones referentes al servicio de energía eléctrica, entre ellas, no se podrá cortar el servicio de energía eléctrica por falta de

https://t.co/MIadUTvwQC",40,1,0,0,0,0
70,GUILLERMO LASSO MIENTRAS UD TUVO LA SUERTE Q LE REGALEN UN BANCO Y SOLO TIENE Q ELEGIR QUE COLOR DE CARRO VA A USAR Q LE VAYA CON SU OUTFIT OTROS TIENEN Q ELEGIR SI SE TOMAN UNA BOTELLA DE AGUA O SE VAN EN BUS. ecuavisa @AsambleaEcuador  @LeonidasIzaSal1 https://t.co/CCBsiZrio2,50,0,0,2,0,0
71,"GUILLERMO LASSO HAGA UN EJERCICIO, Q LE BLOQUEEN SUS CUENTAS  E INTENTE VIVIR CON $1.00 O $3.00 AL DÍA. NO SE VAYA A OPERAR A EEUU SINO EN EL HOSPITAL DEL GUASMO. ASÍ SABREMOS SI ES MADURO QUIEN ESTÁ DETRÁS DE LAS PROTESTAS @LeonidasIzaSal1 https://t.co/oxHuW519wS",45,0,0,1,0,0
72,"GUILLERMO LASSO HAGA UN EJERCICIO, Q LE BLOQUEEN SUS CUENTAS  E INTENTE VIVIR CON $1.00 O $3.00 AL DÍA. NO SE VAYA A OPERAR A EEUU SINO EN EL HOSPITAL DEL GUASMO. ASÍ SABREMOS SI ES MADURO QUIEN ESTÁ DETRÁS DE LAS PROTESTAS @4pelagatos4 @AnderssonBoscan
https://t.co/oxHuW519wS",46,0,0,2,0,0
73,"GUILLERMO LASSO HAGA UN EJERCICIO, Q LE BLOQUEEN SUS CUENTAS  E INTENTE VIVIR CON $1.00 O $3.00 AL DÍA. NO SE VAYA A OPERAR A EEUU SINO EN EL HOSPITAL DEL GUASMO. ASÍ SABREMOS SI ES MADURO QUIEN ESTÁ DETRÁS DE LAS PROTESTAS @Karen_Minda @UnCafeConJJ
https://t.co/oxHuW519wS",46,0,0,2,0,0
74,"Señor Presidente Guillermo Lasso
👇👇👇👇👇👇👇👇👇👇👇👇👇 https://t.co/xhDhz8euBw",6,0,0,0,15,8
75,"GUILLERMO LASSO HAGA UN EJERCICIO, Q LE BLOQUEEN SUS CUENTAS  E INTENTE VIVIR CON $1.00 O $3.00 AL DÍA. NO SE VAYA A OPERAR A EEUU SINO EN EL HOSPITAL DEL GUASMO. ASÍ SABREMOS SI ES MADURO QUIEN ESTÁ DETRÁS DE LAS PROTESTAS @augustotandazo https://t.co/oxHuW519wS",45,0,0,1,0,0
76,"GUILLERMO LASSO HAGA UN EJERCICIO, Q LE BLOQUEEN SUS CUENTAS  E INTENTE VIVIR CON $1.00 O $3.00 AL DÍA. NO SE VAYA A OPERAR A EEUU SINO EN EL HOSPITAL DEL GUASMO. ASÍ SABREMOS SI ES MADURO QUIEN ESTÁ DETRÁS DE LAS PROTESTAS @ecuavisa @AsambleaEcuador https://t.co/oxHuW519wS",46,0,0,2,0,0
77,"GUILLERMO LASSO HAGA UN EJERCICIO, HAGA Q LE BLOQUEEN SUS CUENTAS 3 MESES E INTENTE VIVIR CON $1.00 O $3.00 AL DÍA. NO SE VAYA A OPERAR A EEUU, PIDA UNA CITA EN EL HOSPITAL DEL GUASMO. ASÍ SABREMOS SI ES MADURO QUIEN ESTÁ DETRÁS DE LAS PROTESTAS. @ecuavisa @AsambleaEcuador https://t.co/oxHuW519wS",51,0,0,2,0,0
78,"GUILLERMO LASSO UD HABLA DESDE LA COMODIDAD  DE SU CASA AMURALLADA. SE VA A OPERAR A EEUU Y AQUÍ LA GENTE CAE MUERTA EN LAS CALLES. LAS PROTESTAS NO VIENEN DE MADURO. ES DE UN PUEBLO CON HAMBRE, SIN TRABAJO X LAS POLÍTICAS Q UD APOYO EN LA ASAMBLEA  @NTN24 https://t.co/Bpe14VqLhe",51,0,0,1,0,0
79,"GUILLERMO LASSO UD HABLA DESDE LA COMODIDAD  DE SU CASA AMURALLADA. SE VA A OPERAR A EEUU Y AQUÍ LA GENTE CAE MUERTA EN LAS CALLES. LAS PROTESTAS NO VIENEN DE MADURO. ES DE UN PUEBLO CON HAMBRE, SIN TRABAJO X LAS POLÍTICAS Q UD APOYO EN LA @Expresoec https://t.co/Bpe14VqLhe",50,0,0,1,0,0
80,"GUILLERMO LASSO UD HABLA DESDE LA COMODIDAD  DE SU CASA AMURALLADA. SE VA A OPERAR A EEUU Y AQUÍ LA GENTE CAE MUERTA EN LAS CALLES. LAS PROTESTAS NO VIENEN DE MADURO. ES DE UN PUEBLO CON HAMBRE, SIN TRABAJO X LAS POLÍTICAS Q UD APOYO EN LA @AsambleaEcuador https://t.co/Bpe14VqLhe",50,0,0,1,3,3
81,"GUILLERMO LASSO UD HABLA DESDE LA COMODIDAD  DE SU CASA AMURALLADA. SE VA A OPERAR A EEUU Y AQUÍ LA GENTE CAE MUERTA EN LAS CALLES. LAS PROTESTAS NO VIENEN DE MADURO. ES DE UN PUEBLO CON HAMBRE, SIN TRABAJO X LAS POLÍTICAS Q UD APOYO EN ASAMBLEA @CNNEE https://t.co/Bpe14VqLhe",50,0,0,1,0,0
82,"GUILLERMO LASSO UD HABLA DESDE LA COMODIDAD  DE SU CASA AMURALLADA. SE VA A OPERAR A EEUU Y AQUÍ LA GENTE CAE MUERTA EN LAS CALLES. LAS PROTESTAS NO VIENEN DE MADURO. ES DE UN PUEBLO CON HAMBRE, SIN TRABAJO X LAS POLÍTICAS Q UD APOYO EN ASAMBLEA Ecuavisa. https://t.co/Bpe14VqLhe",50,0,0,0,0,0
83,GUILLERMO LASSO UD HABLA DESDE LA COMODIDAD  DE SU CASA AMURALLADA. UD SE VA A OPERAR A EEUU Y AQUÍ LA GENTE CAE MUERTA EN LAS CALLES. LAS PROTESTAS NO VIENEN DE MADURO NI DE CORREA. ES DE UN PUEBLO CON HAMBRE Y SIN TRABAJO X LAS POLÍTICAS Q UD APOYO EN LA ASAMBLEA. Ecuavisa. https://t.co/Bpe14VqLhe,56,0,0,0,0,0
84,"@ecuainm_oficial El 30 S
Contra Rafael Correa .
Ante las fallidas marchas de PACHAKUTIK,financiadas por el banquero Guillermo Lasso y promocionadas por los grandes medios ecuatorianos.
Las FFAA deben tener funciones diferentes,no ser herramienta de la oligarquía corrupta ecuatoriana.
El pueblo!!!",41,0,0,1,0,0
85,Guillermo Lasso AMENAZA al pueblo ecuatoriano si salen a Protestar  La d... https://t.co/oov2a3PljH a través de @YouTube,17,1,0,1,0,0
86,"Diario El Universo: 

""GUILLERMO LASSO FORTALECERÁ LAS FFAA.""

Pregunta seria:

¿ES QUE ACASO ESTAMOS EN GUERRA?

Habiendo miles de prioridades en salud, educación, económicas y laborales, deciden llenar ""Más"" de armas y la panza de los militares.

De verdad estamos locos 🤯🤯🤯.",42,0,0,0,387,221
87,"@WilmerCoronel9 @agusantonetti 😂 de que hablas?
Pero si tienen a los mejores aliados de  EUA allí cerquita!

Allí está Colombia con el Uribismo; Brasil con Bolsonaro; Ecuador con Lenin Moreno y ahora Guillermo Lasso! Los mejores aliados capitalistas neo-liberales de EUA!

Para que van tan lejos!",46,0,0,2,0,0
88,Los invito a seguir la carrera del presidente Guillermo Lasso  que sin duda será el mejor presidente de toda la region sin importar derechas o izquierdas tan desacreditadas.,28,0,0,0,1,0
89,Guillermo Lasso destacó rol de militares en octubre de 2019 y prometió renovar equipos https://t.co/l0pjCtSJsT,15,1,0,0,0,0
90,Guillermo Lasso destacó rol de militares en octubre de 2019 y prometió renovar equipos https://t.co/QoCLfdHgtY,15,1,0,0,1,1
91,"A través del decreto ejecutivo 74, el presidente de la República, Guillermo Lasso, dispuso que se transparenten los procesos de facturación eléctrica y, en el plazo de 10 días, se implementen medidas compensatorias. Más detalles en: https://t.co/5a7ZS9Ohla https://t.co/p0eBbVqw7B",38,1,0,0,0,0
92,Accede a tu vacuna | Guillermo Lasso 2021 - 2025 https://t.co/jYvbXiEoRn,11,1,0,0,0,0
93,"@soynelson5 @SrMontesdeocaM @APACHE_EC @LassoGuillermo @LassoGuillermo 
ESTIMADO SEÑOR PRESIDENTE GUILLERMO LASSO ,NO SOLO QUE NO ESTEN LOS DE TAL O CUAL PARTIDO, NO DEBEN ESTAR LOS MISMOS DE SIEMPRE ,YA NO QUEREMOS A LOS QUE YA HAN OCUPADO CARGO PUBLICO Y NO HAN HECHO NADA,PORFAVOR DE USTED DEPENEDE QUE NO LO CONFUNDAN OTRA VEZ.
SOS",54,0,0,5,4,2
94,"@CarlosEduadoIII @agusantonetti Pero si tienen a los mejores aliados de  EUA allí cerquita!

Allí está Colombia con el Uribismo; Brasil con Bolsonaro; Ecuador con Lenin Moreno y ahora Guillermo Lasso! Los mejores aliados capitalistas neo-liberales de EUA!

Para que van tan lejos!",42,0,0,2,0,0
95,"¿Crees que con las 6 millones de vacunas CanSino el gobierno de Guillermo Lasso, alcance a cumplir su objetivo 9/100? ⬇️",21,0,0,0,0,0
96,Guillermo Lasso tiene dos caras. https://t.co/8zgA1Ux3HS,6,1,0,0,0,0
97,"@LassoGuillermo Tú guillermo lasso q profesas ser transparente, vas a denunciar ante la ley a los genocidas y corruptos: Lerdin moreno, maria paula romo, oswaldo jarrin, por el desastre como dejan el país y todo esta en el informe del defensor del pueblo y d Derechos Humanos en Ecuador.",49,0,0,1,0,0
98,"@LassoGuillermo YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,1
99,¿Por qué las redes denuncien un tsunami de correístas en el gobierno de Guillermo Lasso? ¿Verdad o espejismo? ¿Por qué no hay que darles cargos ni papaya? Aquí el análisis. https://t.co/TbWKaDYRM1,31,1,0,0,86,65
100,"El presidente Guillermo Lasso decretó lineamientos para atender los problemas con las planillas de luz. Entre otras disposiciones, no se podrá cortar la energía por falta de pago.

Para más info, visita https://t.co/Q3r9V2Fdhs 📲 https://t.co/8fer46Hz2t",35,1,0,0,22,11
101,"Sucre Noticias quiere conocer lo siguiente ⬇️👀
.
¿Crees que con las 6 millones de vacunas CanSino el gobierno de Guillermo Lasso, alcance a cumplir su objetivo 9/100?
.
Cuéntanos 👀

#SucreEnLaNoticia https://t.co/xZfTHY4dkm",33,0,1,0,0,0
102,"🇵🇪 Keiko Fujimori no siguió en Perú el ejemplo que Guillermo Lasso dio en Ecuador

https://t.co/plFQb4B9Cj",16,1,0,0,0,0
103,"Como un ""Especial de los Sábados"" compartimos un ""Artículo de Opinión"" realizado por el Columnista invitado y Cientista Político de @GobiernoUDD Alfonso Leiva. ""Los nuevos desafíos políticos que le esperan a Guillermo Lasso en el #Ecuador.""

https://t.co/Z2PDgF9xPi",37,1,1,1,0,1
104,"Quedó claro.

Los medios a fines al pensamiento de Guillermo Lasso satanizarán cualquier: marcha, protesta, crítica, opción de manera estratégica, no escupiendo odio sino disfrazando la realidad y redireccionando la opinión, decir que: vienen del Correismo o PSC por intereses.",40,0,0,0,10,5
